iso3,region,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,EMR,7.0,466.0,26.0,28174.0,43964.0,43979.0,32455.0,31107.0,20320.0,18808.0,16199.0,14457.0,8107.0,10357.0,4561.0,1170.0,1609.0,792.0,,,,,,,2205.0,3609.0,6532.0,8762.0,2486.0,798.0,466.0,1296.0,1990.0,1141.0,1599.0,2861.0,1989.0,3013.0,2787.0,430.0,492.0,1154.0,638.0,1511.0,2012.0,353.0,640.0,2900.0,5166.0
AGO,AFR,5881.0,2153.0,5492.0,12940.0,20408.0,19682.0,29656.0,19714.0,30067.0,22589.0,22685.0,22822.0,15580.0,13368.0,21009.0,19820.0,29069.0,18382.0,16772.0,9273.0,5480.0,635.0,251.0,8183.0,2576.0,350.0,2219.0,9046.0,11945.0,1196.0,29.0,258.0,765.0,1014.0,265.0,2807.0,1190.0,1449.0,4458.0,8523.0,11699.0,119.0,53.0,29.0,57.0,2987.0,1085.0,300.0,3271.0
ALB,EUR,,,,,,,,,3.0,17.0,0.0,0.0,0.0,0.0,0.0,136034.0,,0.0,0.0,7.0,29.0,15.0,1204.0,2386.0,1901.0,797.0,662.0,18.0,16.0,8.0,7.0,6.0,68.0,22.0,,0.0,10.0,28.0,9.0,0.0,,,17.0,12.0,1469.0,488.0,4.0,,1.0
AND,EUR,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,EMR,555.0,399.0,897.0,1056.0,1973.0,1616.0,2796.0,2820.0,1691.0,2105.0,1749.0,2400.0,2158.0,2913.0,1187.0,1068.0,1187.0,1148.0,1063.0,745.0,518.0,671.0,425.0,243.0,296.0,117.0,69.0,30.0,53.0,42.0,22.0,29.0,,,55.0,,87.0,,132.0,,344.0,347.0,223.0,121.0,172.0,187.0,50.0,35.0,98.0
ARG,AMR,23803.0,23108.0,39291.0,36538.0,9551.0,9985.0,16102.0,17582.0,4432.0,7106.0,31751.0,9240.0,6448.0,8024.0,4751.0,4009.0,1967.0,42093.0,20551.0,5087.0,134.0,655.0,59.0,125.0,10229.0,313.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,14.0,130.0,69.0,0.0,2.0
ARM,EUR,,,,,,,,,,,,,,,,,879.0,192.0,46.0,338.0,149.0,187.0,2027.0,802.0,52.0,41.0,15.0,69.0,40.0,4.0,1783.0,2281.0,137.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,13.0,33.0,2.0,1.0,19.0,7.0,0.0,0.0,0.0
ATG,AMR,1388.0,3.0,9.0,4.0,10.0,534.0,2291.0,247.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUS,WPR,,,,,,,,,,,,,,,248.0,169.0,880.0,1380.0,1425.0,4536.0,4895.0,1198.0,498.0,853.0,327.0,235.0,108.0,141.0,32.0,91.0,70.0,10.0,,11.0,65.0,104.0,70.0,190.0,199.0,158.0,340.0,74.0,99.0,81.0,103.0,286.0,25.0,0.0,7.0
AUT,EUR,,,,,,,,,,,,,,,,,,,,60.0,,,,0.0,0.0,1.0,,0.0,,90.0,15.0,9.0,23.0,20.0,448.0,49.0,52.0,68.0,36.0,,117.0,309.0,27.0,95.0,77.0,,25.0,1.0,1.0
